Item,Quantity,Name
1,1,100.96mm
2,1,113.96mm
3,1,118.81mm
4,1,122.15mm
5,1,137.81mm
6,1,138.7mm
7,1,140.47mm
8,1,142.51mm
9,1,147.27mm
10,1,153.69mm
11,1,154.23mm
12,1,158.26mm
13,1,158.27mm
14,1,158.49mm
15,1,16.6mm
16,1,162.98mm
17,1,163.27mm
18,1,163.66mm
19,1,166.58mm
20,1,168.38mm
21,1,168.48mm
22,1,17.7mm
23,1,171.11mm
24,1,171.59mm
25,1,171.73mm
26,1,179.36mm
27,1,189mm
28,1,192.22mm
29,1,194.26mm
30,1,200.26mm
31,1,202.74mm
32,1,204.78mm
33,1,205.75mm
34,1,211.68mm
35,1,214.83mm
36,1,215.35mm
37,1,215.43mm
38,1,228.79mm
39,1,230.02mm
40,1,239.59mm
41,1,243.21mm
42,1,243.42mm
43,1,251.66mm
44,1,253.41mm
45,1,26.58mm
46,1,261.7mm
47,1,263.65mm
48,1,263.98mm
49,1,267.03mm
50,1,271.58mm
51,1,273.32mm
52,1,276.97mm
53,1,278.24mm
54,1,282.18mm
55,1,285.57mm
56,1,290.56mm
57,1,302.69mm
58,1,303.7mm
59,1,306.45mm
60,1,324.17mm
61,1,34.57mm
62,1,34.82mm
63,1,36.87mm
64,1,360.07mm
65,1,376.86mm
66,1,381.39mm
67,1,39.33mm
68,1,41.17mm
69,1,422mm
70,1,436.97mm
71,1,439.48mm
72,1,443.89mm
73,1,492.4mm
74,1,542.45mm
75,1,548.92mm
76,1,556.58mm
77,1,563.56mm
78,1,566.39mm
79,1,574.55mm
80,1,588.36mm
81,1,603.6mm
82,1,64.9mm
83,1,66.12mm
84,1,7.01mm
85,1,72.52mm
86,1,75.15mm
87,1,79.39mm
88,1,82.61mm
89,1,83.93mm
90,1,85.94mm
91,1,88.6mm
92,1,92.99mm
93,1,94.43mm
94,1,98.63mm
95,1,Last Rod
96,1,Part 1
97,1,Part 2
98,1,Part 99
99,1,Part 100
100,1,Part 101
101,1,Part 102
102,1,Part 103
103,1,Part 104
104,1,Part 105
105,1,Part 106
106,1,Part 107
107,1,Part 108
108,1,Part 109
109,1,Part 110
110,1,Part 111
111,1,Part 112
112,1,Part 113
113,1,Part 114
114,1,Part 115
115,1,Part 116
116,1,Part 117
117,1,Part 118
118,1,Part 119
119,1,Part 120
120,1,Part 121
121,1,Part 122
122,1,Part 123
123,1,Part 124
124,1,Part 125
125,1,Part 126
126,1,Part 127
127,1,Part 128
128,1,Part 129
129,1,Part 130
130,1,Part 131
131,1,Part 132
132,1,Part 133
133,1,Part 134
134,1,Part 135
135,1,Part 136
136,1,Part 137
137,1,Part 138
138,1,Part 139
139,1,Part 140
140,1,Part 141
141,1,Part 142
142,1,Part 143
143,1,Part 144
144,1,Part 145
145,1,Part 146
146,1,Part 147
147,1,Part 148
148,1,Part 149
149,1,Part 150
150,1,Part 151
151,1,Sphere
